Team_ID,Team_Name,Team_Abbreviation,Year_Founded,Manager_ID,Manager_ID,First_Name,Last_Name,Age,Player_ID,First_Name,Last_Name,Shirt_Number,Age,Team_ID
,,,,,,,,,72,Dean,Henderson,30,21,8
,,,,,,,,,73,Joel,Ward,2,32,8
,,,,,,,,,74,Tyrick,Mitchell,3,25,8
,,,,,,,,,75,Rob,Holding,4,28,8
,,,,,,,,,76,Joachim,Andersen,16,20,8
,,,,,,,,,77,Michael,Olise,7,19,8
,,,,,,,,,78,Jefferson,Lerma,8,29,8
,,,,,,,,,79,Eberechi,Eze,10,19,8
,,,,,,,,,80,Jordan,Ayew,9,21,8
,,,,,,,,,81,Jordan,Pickford,1,19,9
,,,,,,,,,82,Nathan,Patterson,2,31,9
,,,,,,,,,83,James,Tarkowski,6,29,9
,,,,,,,,,84,Jarrad,Branthwaite,32,24,9
,,,,,,,,,85,Amadou,Onana,8,20,9
,,,,,,,,,86,James,Garner,37,27,9
,,,,,,,,,87,Dwight,McNeil,7,34,9
,,,,,,,,,88,Dominic,Calvert-Lewin,9,19,9
,,,,,,,,,89,Lewis,Dobbin,61,22,9
,,,,,,,,,90,Dele,Alli,20,19,9
,,,,,,,,,91,Bernd,Leno,17,23,10
,,,,,,,,,92,Calvin,Bassey,3,31,10
,,,,,,,,,93,Tim,Ream,13,20,10
,,,,,,,,,94,Timothy,Castagne,21,28,10
,,,,,,,,,95,Issa,Diop,31,24,10
,,,,,,,,,96,Harrison ,Reed,6,22,10
,,,,,,,,,97,Joao,Palhinha,26,35,10
,,,,,,,,,98,Raul,Jimenez,7,34,10
,,,,,,,,,99,Rodrigo,Muniz,19,20,10
,,,,,,,,,100,Adama,Traore,11,22,10
,,,,,,,,,101,Alisson,Becker,1,32,11
,,,,,,,,,102,Joe,Gomez,2,24,11
,,,,,,,,,103,Virgil,van Dijk,4,20,11
,,,,,,,,,104,Ibrahima,Konate,5,25,11
,,,,,,,,,105,Kostas,Tsimikas,21,19,11
,,,,,,,,,106,Dominik,Szoboszlai,8,29,11
,,,,,,,,,107,Harvey,Elliott,19,30,11
,,,,,,,,,108,Luis ,Diaz,7,25,11
,,,,,,,,,109,Darwin,Nunez,9,27,11
,,,,,,,,,110,Mo,Salah,11,24,11
,,,,,,,,,111,James,Shea,1,20,12
,,,,,,,,,112,Thomas,Kaminski,24,23,12
,,,,,,,,,113,Tom,Lockyer,4,30,12
,,,,,,,,,114,Issa,Kabore,12,34,12
,,,,,,,,,115,Teden,Mengi,15,22,12
,,,,,,,,,116,Alfie,Doughty,45,26,12
,,,,,,,,,117,Ross,Barkley,6,34,12
,,,,,,,,,118,Elijah,Adebayo,11,31,12
,,,,,,,,,119,John,McAtee,21,29,12
,,,,,,,,,120,Jordan,Clark,18,27,12
,,,,,,,,,121,Manuel,Akanji,25,31,13
,,,,,,,,,122,Nathan,Ake,6,32,13
,,,,,,,,,123,Joao,Cancelo,7,30,13
,,,,,,,,,124,Ruben,Dias,3,26,13
,,,,,,,,,125,Sergio,Gomez,21,29,13
,,,,,,,,,126,Josko,Gvardiol,24,18,13
,,,,,,,,,127,Kevin,De Bruyne,17,28,13
,,,,,,,,,128,Phil,Foden,47,32,13
,,,,,,,,,129,Jeremy,Doku,11,26,13
,,,,,,,,,130,Erling,Haaland,9,22,13
,,,,,,,,,131,Andre,Onana,24,34,14
,,,,,,,,,132,Luke,Shaw,23,29,14
,,,,,,,,,133,Diogo ,Dalot,20,21,14
,,,,,,,,,134,Bruno,Fernandes,8,34,14
,,,,,,,,,135,Marcus,Rashford,10,27,14
,,,,,,,,,136,Alejandro,Garnacho,17,23,14
,,,,,,,,,137,Rasmus,Hojlund,11,23,14
,,,,,,,,,138,Anthony,Martial,9,30,14
,,,,,,,,,139,Mason,Mount,7,22,14
,,,,,,,,,140,Harry,Maguire,5,20,14
,,,,,,,,,141,Martin,Dubravka,1,30,15
,,,,,,,,,142,Nick,Pope,22,24,15
,,,,,,,,,143,Sven,Botman,4,18,15
,,,,,,,,,144,Dan,Burn,33,25,15
,,,,,,,,,145,Lewis,Hall,20,26,15
,,,,,,,,,146,Jamaal,Lascelles,6,24,15
,,,,,,,,,147,Tino,Livramento,21,24,15
,,,,,,,,,148,Fabian,Schar,5,24,15
,,,,,,,,,149,Kieran,Trippier,2,28,15
,,,,,,,,,150,Miguel,Almiron,24,29,15
,,,,,,,,,151,Matt,Turner,1,26,16
,,,,,,,,,152,Neco,Williams,7,32,16
,,,,,,,,,153,Harry,Toffolo,15,32,16
,,,,,,,,,154,Morgan,Gibbs-White,10,35,16
,,,,,,,,,155,Giovanni,Reyna,20,29,16
,,,,,,,,,156,Ryan,Yates,22,34,16
,,,,,,,,,157,Taiwo,Awoniyi,9,22,16
,,,,,,,,,158,Chris,Wood,11,33,16
,,,,,,,,,159,Callum,Hudson-Odoi,14,25,16
,,,,,,,,,160,Anthony,Elanga,21,19,16
,,,,,,,,,161,Wes,Foderingham,18,24,17
,,,,,,,,,162,Ivo,Grbic,13,22,17
,,,,,,,,,163,George,Baldock,2,23,17
,,,,,,,,,164,Max,Lowe,3,23,17
,,,,,,,,,165,Auston,Trusty,5,22,17
,,,,,,,,,166,Chris,Basham,6,22,17
,,,,,,,,,167,Jayden,Bogle,20,27,17
,,,,,,,,,168,Mason,Holgate,30,20,17
,,,,,,,,,169,Gustavo,Hamer,8,25,17
,,,,,,,,,170,Cameron,Archer,10,23,17
,,,,,,,,,171,Oliver,Skipp,4,28,18
,,,,,,,,,172,Pierre-Emile,Hojbjerg,5,22,18
,,,,,,,,,173,Radu,Dragusin,6,27,18
,,,,,,,,,174,Heung-Min,Son,7,21,18
,,,,,,,,,175,Yves,Bissouma,8,22,18
,,,,,,,,,176,James,Maddison,10,20,18
,,,,,,,,,177,Guglielmo,Vicario,13,19,18
,,,,,,,,,178,Emerson,Royal,12,18,18
,,,,,,,,,179,Timo,Werner,16,25,18
,,,,,,,,,180,Christian,Romero,17,29,18
,,,,,,,,,181,Michail,Antonio,9,30,19
,,,,,,,,,182,Tomas,Soucek,28,24,19
,,,,,,,,,183,Alphonse,Areola,23,30,19
,,,,,,,,,184,Ben,Johnson,2,23,19
,,,,,,,,,185,Nayef,Aguerd,27,33,19
,,,,,,,,,186,James,Ward-Prowse,7,19,19
,,,,,,,,,187,Lucas,Paqueta,10,34,19
,,,,,,,,,188,Kalvin,Phillips,11,20,19
,,,,,,,,,189,Mohammed,Kudus,14,30,19
,,,,,,,,,190,Jarrod ,Bowen,20,26,19
,,,,,,,,,191,Jose,Sa,1,28,20
,,,,,,,,,192,Matt,Doherty,2,18,20
,,,,,,,,,193,Rayan,Ait-Nouri,3,23,20
,,,,,,,,,194,Craig,Dawson,15,22,20
,,,,,,,,,195,Nelson,Semedo,22,19,20
,,,,,,,,,196,Mario,Lemina,5,27,20
,,,,,,,,,197,Tommy,Doyle,20,35,20
,,,,,,,,,198,Pedro,Neto,7,24,20
,,,,,,,,,199,Matheus,Cunha,12,22,20
,,,,,,,,,200,Pablo,Sarabia,21,20,20
